"Matrix_Index_A","Matrix_Index_B","Region_A","Region_B","Connectivity_A","Connectivity_B","Difference","Effect_Size","Abs_Effect_Size","Bayesian_P_Value","Comparison","Effect_Category","Significance_Category","Combined_Category","index.x","RegionA_Area","RegionA_Side","RegionA_Name","color.x","ctxlabel.x","RSNsID.x","RSNsID17.x","X.x","Y.x","Z.x","RegionA_RSN","RegionA_RSNName","R.x","G.x","B.x","index.y","RegionB_Area","RegionB_Side","RegionB_Name","color.y","ctxlabel.y","RSNsID.y","RSNsID17.y","X.y","Y.y","Z.y","RegionB_RSN","RegionB_RSNName","R.y","G.y","B.y","Connection_Name","Network_Pair","Brain_Regions","Direction"
1,2,1,2,0.109766220357711,0.0850785341202956,-0.0246876862374158,-0.28531794030159,0.28531794030159,0.546,"S3_vs_S2","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,"rh-lateralorbitofrontal ↔ rh-parsorbitalis","LS - DMN","lateral orbitofrontal - pars orbitalis","Decreased"
1,3,1,3,0.103539904347553,0.117916603805741,0.0143766994581874,0.166152884409567,0.166152884409567,0.793,"S3_vs_S2","Negligible","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,"rh-lateralorbitofrontal ↔ rh-frontalpole","LS - LS","lateral orbitofrontal - frontal pole","Increased"
2,3,2,3,0.0429796417112531,0.0590084545100161,0.016028812798763,0.185246515580374,0.185246515580374,0.54,"S3_vs_S2","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,"rh-parsorbitalis ↔ rh-frontalpole","DMN - LS","pars orbitalis - frontal pole","Increased"
1,4,1,4,0.225007938781246,0.300276451199463,0.0752685124182172,0.869885364153038,0.869885364153038,0.397,"S3_vs_S2","Large","Not Significant","Large Effect Only",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-lateralorbitofrontal ↔ rh-medialorbitofrontal","LS - LS","lateral orbitofrontal - medial orbitofrontal","Increased"
2,4,2,4,0.0533485547997984,0.0608014976704737,0.00745294287067534,0.0861343703333252,0.0861343703333252,0.915,"S3_vs_S2","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-parsorbitalis ↔ rh-medialorbitofrontal","DMN - LS","pars orbitalis - medial orbitofrontal","Increased"
3,4,3,4,0.181442335710353,0.168896410205242,-0.012545925505111,-0.144994455530238,0.144994455530238,0.801,"S3_vs_S2","Negligible","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-frontalpole ↔ rh-medialorbitofrontal","LS - LS","frontal pole - medial orbitofrontal","Decreased"
1,5,1,5,0.055183240211287,0.0179244838475612,-0.0372587563637257,-0.430602994612984,0.430602994612984,0.271,"S3_vs_S2","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-lateralorbitofrontal ↔ rh-parstriangularis","LS - FP","lateral orbitofrontal - pars triangularis","Decreased"
2,5,2,5,0.186421397988492,0.175496423138257,-0.0109249748502352,-0.126260974484989,0.126260974484989,0.916,"S3_vs_S2","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-parsorbitalis ↔ rh-parstriangularis","DMN - FP","pars orbitalis - pars triangularis","Decreased"
3,5,3,5,-0.00853366467989159,0.00814586461328497,0.0166795292931766,0.192766908059478,0.192766908059478,0.556,"S3_vs_S2","Negligible","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-frontalpole ↔ rh-parstriangularis","LS - FP","frontal pole - pars triangularis","Increased"
4,5,4,5,-0.0456115468481422,-0.0468147838457731,-0.00120323699763096,-0.0139059245389482,0.0139059245389482,0.949,"S3_vs_S2","Negligible","Not Significant","Neither",3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-medialorbitofrontal ↔ rh-parstriangularis","LS - FP","medial orbitofrontal - pars triangularis","Decreased"
