"Matrix_Index_A","Matrix_Index_B","Region_A","Region_B","Connectivity_A","Connectivity_B","Difference","Effect_Size","Abs_Effect_Size","Bayesian_P_Value","Comparison","Effect_Category","Significance_Category","Combined_Category","index.x","RegionA_Area","RegionA_Side","RegionA_Name","color.x","ctxlabel.x","RSNsID.x","RSNsID17.x","X.x","Y.x","Z.x","RegionA_RSN","RegionA_RSNName","R.x","G.x","B.x","index.y","RegionB_Area","RegionB_Side","RegionB_Name","color.y","ctxlabel.y","RSNsID.y","RSNsID17.y","X.y","Y.y","Z.y","RegionB_RSN","RegionB_RSNName","R.y","G.y","B.y","Connection_Name","Network_Pair","Brain_Regions","Direction"
1,2,1,2,0.120045254193452,0.109766220357711,-0.0102790338357407,-0.0943366096684498,0.0943366096684498,0.943,"S1_vs_S3","Negligible","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,"rh-lateralorbitofrontal ↔ rh-parsorbitalis","LS - DMN","lateral orbitofrontal - pars orbitalis","Decreased"
1,3,1,3,0.0804299609395279,0.103539904347553,0.0231099434080255,0.212093251718125,0.212093251718125,0.6,"S1_vs_S3","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,"rh-lateralorbitofrontal ↔ rh-frontalpole","LS - LS","lateral orbitofrontal - frontal pole","Increased"
2,3,2,3,0.0664086232585802,0.0429796417112531,-0.0234289815473271,-0.215021248346757,0.215021248346757,0.554,"S1_vs_S3","Small","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,"rh-parsorbitalis ↔ rh-frontalpole","DMN - LS","pars orbitalis - frontal pole","Decreased"
1,4,1,4,0.267637665884949,0.225007938781246,-0.0426297271037032,-0.391237541418679,0.391237541418679,0.758,"S1_vs_S3","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-lateralorbitofrontal ↔ rh-medialorbitofrontal","LS - LS","lateral orbitofrontal - medial orbitofrontal","Decreased"
2,4,2,4,0.0692953950573067,0.0533485547997984,-0.0159468402575084,-0.146353331340045,0.146353331340045,0.877,"S1_vs_S3","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-parsorbitalis ↔ rh-medialorbitofrontal","DMN - LS","pars orbitalis - medial orbitofrontal","Decreased"
3,4,3,4,0.167676977617388,0.181442335710353,0.0137653580929651,0.126332613951252,0.126332613951252,0.778,"S1_vs_S3","Negligible","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-frontalpole ↔ rh-medialorbitofrontal","LS - LS","frontal pole - medial orbitofrontal","Increased"
1,5,1,5,0.0886253119324487,0.055183240211287,-0.0334420717211618,-0.30691713996447,0.30691713996447,0.52,"S1_vs_S3","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-lateralorbitofrontal ↔ rh-parstriangularis","LS - FP","lateral orbitofrontal - pars triangularis","Decreased"
2,5,2,5,0.184671988341311,0.186421397988492,0.00174940964718145,0.0160553392151069,0.0160553392151069,0.901,"S1_vs_S3","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-parsorbitalis ↔ rh-parstriangularis","DMN - FP","pars orbitalis - pars triangularis","Increased"
3,5,3,5,0.0179380872666772,-0.00853366467989159,-0.0264717519465688,-0.242946503584843,0.242946503584843,0.417,"S1_vs_S3","Small","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-frontalpole ↔ rh-parstriangularis","LS - FP","frontal pole - pars triangularis","Decreased"
4,5,4,5,-0.0132668298690778,-0.0456115468481422,-0.0323447169790644,-0.296846083907322,0.296846083907322,0.652,"S1_vs_S3","Small","Not Significant","Neither",3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-medialorbitofrontal ↔ rh-parstriangularis","LS - FP","medial orbitofrontal - pars triangularis","Decreased"
1,6,1,6,0.0453692512359535,0.0231703196901736,-0.02219893154578,-0.203732371520109,0.203732371520109,0.6,"S1_vs_S3","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,"rh-lateralorbitofrontal ↔ rh-parsopercularis","LS - FP","lateral orbitofrontal - pars opercularis","Decreased"
2,6,2,6,0.15403110667315,0.160765787702205,0.00673468102905481,0.0618080439885699,0.0618080439885699,0.852,"S1_vs_S3","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,"rh-parsorbitalis ↔ rh-parsopercularis","DMN - FP","pars orbitalis - pars opercularis","Increased"
3,6,3,6,-0.0103036850267229,-0.0170604185242909,-0.00675673349756798,-0.0620104321845421,0.0620104321845421,0.811,"S1_vs_S3","Negligible","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,"rh-frontalpole ↔ rh-parsopercularis","LS - FP","frontal pole - pars opercularis","Decreased"
4,6,4,6,-0.0655282374641004,-0.0692712832093211,-0.00374304574522072,-0.0343520851356937,0.0343520851356937,0.907,"S1_vs_S3","Negligible","Not Significant","Neither",3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,"rh-medialorbitofrontal ↔ rh-parsopercularis","LS - FP","medial orbitofrontal - pars opercularis","Decreased"
5,6,5,6,0.212014644730572,0.198056272954851,-0.0139583717757208,-0.128104011608052,0.128104011608052,0.992,"S1_vs_S3","Negligible","Not Significant","Neither",4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,"rh-parstriangularis ↔ rh-parsopercularis","FP - FP","pars triangularis - pars opercularis","Decreased"
1,7,1,7,0.042357688230137,0.0511487051794727,0.00879101694933573,0.0806802222651167,0.0806802222651167,0.841,"S1_vs_S3","Negligible","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,6,"rostral middle frontal","lateral","rh-rostralmiddlefrontal","#4b327d","cortical",6,8,134.57,95.262,194.35,"Frontoparietal","FP",230,148,34,"rh-lateralorbitofrontal ↔ rh-rostralmiddlefrontal","LS - FP","lateral orbitofrontal - rostral middle frontal","Increased"
2,7,2,7,0.196885015546422,0.208976980751791,0.0120919652053692,0.110974924290752,0.110974924290752,0.832,"S1_vs_S3","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,6,"rostral middle frontal","lateral","rh-rostralmiddlefrontal","#4b327d","cortical",6,8,134.57,95.262,194.35,"Frontoparietal","FP",230,148,34,"rh-parsorbitalis ↔ rh-rostralmiddlefrontal","DMN - FP","pars orbitalis - rostral middle frontal","Increased"
3,7,3,7,0.124370392701988,0.0534269594592232,-0.0709434332427648,-0.651088718775503,0.651088718775503,0.132,"S1_vs_S3","Medium","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,6,"rostral middle frontal","lateral","rh-rostralmiddlefrontal","#4b327d","cortical",6,8,134.57,95.262,194.35,"Frontoparietal","FP",230,148,34,"rh-frontalpole ↔ rh-rostralmiddlefrontal","LS - FP","frontal pole - rostral middle frontal","Decreased"
4,7,4,7,0.0364305250688134,0.00422050579347509,-0.0322100192753384,-0.29560988555418,0.29560988555418,0.675,"S1_vs_S3","Small","Not Significant","Neither",3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,6,"rostral middle frontal","lateral","rh-rostralmiddlefrontal","#4b327d","cortical",6,8,134.57,95.262,194.35,"Frontoparietal","FP",230,148,34,"rh-medialorbitofrontal ↔ rh-rostralmiddlefrontal","LS - FP","medial orbitofrontal - rostral middle frontal","Decreased"
5,7,5,7,0.20273184081697,0.221830955972789,0.0190991151558188,0.175283572392038,0.175283572392038,0.8,"S1_vs_S3","Negligible","Not Significant","Neither",4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,6,"rostral middle frontal","lateral","rh-rostralmiddlefrontal","#4b327d","cortical",6,8,134.57,95.262,194.35,"Frontoparietal","FP",230,148,34,"rh-parstriangularis ↔ rh-rostralmiddlefrontal","FP - FP","pars triangularis - rostral middle frontal","Increased"
6,7,6,7,0.185014427395071,0.213624967780547,0.0286105403854755,0.262575396080846,0.262575396080846,0.779,"S1_vs_S3","Small","Not Significant","Neither",5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,6,"rostral middle frontal","lateral","rh-rostralmiddlefrontal","#4b327d","cortical",6,8,134.57,95.262,194.35,"Frontoparietal","FP",230,148,34,"rh-parsopercularis ↔ rh-rostralmiddlefrontal","FP - FP","pars opercularis - rostral middle frontal","Increased"
1,8,1,8,0.0195781169336209,0.0459791941117716,0.0264010771781507,0.242297880557795,0.242297880557795,0.753,"S1_vs_S3","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,7,"superior frontal","medial","rh-superiorfrontal","#14dca0","cortical",7,16,104.96,117.04,174.33,"Default","DMN",205,62,78,"rh-lateralorbitofrontal ↔ rh-superiorfrontal","LS - DMN","lateral orbitofrontal - superior frontal","Increased"
2,8,2,8,0.140374127782341,0.13706800266351,-0.00330612511883055,-0.030342213075097,0.030342213075097,0.969,"S1_vs_S3","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,7,"superior frontal","medial","rh-superiorfrontal","#14dca0","cortical",7,16,104.96,117.04,174.33,"Default","DMN",205,62,78,"rh-parsorbitalis ↔ rh-superiorfrontal","DMN - DMN","pars orbitalis - superior frontal","Decreased"
3,8,3,8,0.147983612202779,0.0863733060971335,-0.0616103061056458,-0.56543323930242,0.56543323930242,0.185,"S1_vs_S3","Medium","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,7,"superior frontal","medial","rh-superiorfrontal","#14dca0","cortical",7,16,104.96,117.04,174.33,"Default","DMN",205,62,78,"rh-frontalpole ↔ rh-superiorfrontal","LS - DMN","frontal pole - superior frontal","Decreased"
4,8,4,8,0.0799563336576636,0.0759984175140084,-0.0039579161436552,-0.0363240744520376,0.0363240744520376,0.95,"S1_vs_S3","Negligible","Not Significant","Neither",3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,7,"superior frontal","medial","rh-superiorfrontal","#14dca0","cortical",7,16,104.96,117.04,174.33,"Default","DMN",205,62,78,"rh-medialorbitofrontal ↔ rh-superiorfrontal","LS - DMN","medial orbitofrontal - superior frontal","Decreased"
5,8,5,8,0.120261575616734,0.123652985464369,0.0033914098476354,0.0311249201174621,0.0311249201174621,0.9,"S1_vs_S3","Negligible","Not Significant","Neither",4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,7,"superior frontal","medial","rh-superiorfrontal","#14dca0","cortical",7,16,104.96,117.04,174.33,"Default","DMN",205,62,78,"rh-parstriangularis ↔ rh-superiorfrontal","FP - DMN","pars triangularis - superior frontal","Increased"
6,8,6,8,0.104746698690895,0.1252943549758,0.0205476562849044,0.188577668049949,0.188577668049949,0.822,"S1_vs_S3","Negligible","Not Significant","Neither",5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,7,"superior frontal","medial","rh-superiorfrontal","#14dca0","cortical",7,16,104.96,117.04,174.33,"Default","DMN",205,62,78,"rh-parsopercularis ↔ rh-superiorfrontal","FP - DMN","pars opercularis - superior frontal","Increased"
7,8,7,8,0.306008943861748,0.27422968245279,-0.0317792614089581,-0.291656572689207,0.291656572689207,0.796,"S1_vs_S3","Small","Not Significant","Neither",6,"rostral middle frontal","lateral","rh-rostralmiddlefrontal","#4b327d","cortical",6,8,134.57,95.262,194.35,"Frontoparietal","FP",230,148,34,7,"superior frontal","medial","rh-superiorfrontal","#14dca0","cortical",7,16,104.96,117.04,174.33,"Default","DMN",205,62,78,"rh-rostralmiddlefrontal ↔ rh-superiorfrontal","FP - DMN","rostral middle frontal - superior frontal","Decreased"
1,9,1,9,-0.0524064707679633,-0.0142150577340819,0.0381914130338814,0.350504578702383,0.350504578702383,0.809,"S1_vs_S3","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,8,"caudal middle frontal","lateral","rh-caudalmiddlefrontal","#641900","cortical",6,13,102.77,92.107,159.23,"Frontoparietal","FP",230,148,34,"rh-lateralorbitofrontal ↔ rh-caudalmiddlefrontal","LS - FP","lateral orbitofrontal - caudal middle frontal","Increased"
2,9,2,9,0.110974260196438,0.102523291554467,-0.00845096864197091,-0.0775594032316437,0.0775594032316437,0.974,"S1_vs_S3","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,8,"caudal middle frontal","lateral","rh-caudalmiddlefrontal","#641900","cortical",6,13,102.77,92.107,159.23,"Frontoparietal","FP",230,148,34,"rh-parsorbitalis ↔ rh-caudalmiddlefrontal","DMN - FP","pars orbitalis - caudal middle frontal","Decreased"
3,9,3,9,0.0970541884712696,0.0304497223219354,-0.0666044661493342,-0.611267520441281,0.611267520441281,0.037,"S1_vs_S3","Medium","Marginally Significant","Significant Only",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,8,"caudal middle frontal","lateral","rh-caudalmiddlefrontal","#641900","cortical",6,13,102.77,92.107,159.23,"Frontoparietal","FP",230,148,34,"rh-frontalpole ↔ rh-caudalmiddlefrontal","LS - FP","frontal pole - caudal middle frontal","Decreased"
4,9,4,9,-0.0336342570626016,-0.0243985799220596,0.00923567714054194,0.0847611247665818,0.0847611247665818,0.836,"S1_vs_S3","Negligible","Not Significant","Neither",3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,8,"caudal middle frontal","lateral","rh-caudalmiddlefrontal","#641900","cortical",6,13,102.77,92.107,159.23,"Frontoparietal","FP",230,148,34,"rh-medialorbitofrontal ↔ rh-caudalmiddlefrontal","LS - FP","medial orbitofrontal - caudal middle frontal","Increased"
5,9,5,9,0.112975166987398,0.115348133749181,0.00237296676178299,0.0217780817477382,0.0217780817477382,0.9,"S1_vs_S3","Negligible","Not Significant","Neither",4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,8,"caudal middle frontal","lateral","rh-caudalmiddlefrontal","#641900","cortical",6,13,102.77,92.107,159.23,"Frontoparietal","FP",230,148,34,"rh-parstriangularis ↔ rh-caudalmiddlefrontal","FP - FP","pars triangularis - caudal middle frontal","Increased"
6,9,6,9,0.112020703138386,0.122700380037876,0.0106796768994899,0.0980135416569276,0.0980135416569276,0.886,"S1_vs_S3","Negligible","Not Significant","Neither",5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,8,"caudal middle frontal","lateral","rh-caudalmiddlefrontal","#641900","cortical",6,13,102.77,92.107,159.23,"Frontoparietal","FP",230,148,34,"rh-parsopercularis ↔ rh-caudalmiddlefrontal","FP - FP","pars opercularis - caudal middle frontal","Increased"
